time X A B A2 B2
73.7 1 5 11 2 6
73.8 1 6 11 1 6
73.9 1 6 13 1 5
74 1 6 15 1 4
74.1 1 6 13 1 5
74.2 1 6 15 1 4
74.3 1 5 17 1 3
74.4 1 5 15 1 4
74.5 1 4 13 1 5
74.6 1 4 13 1 5
74.7 1 4 13 1 5
74.8 1 4 15 1 4
74.9 1 4 15 1 4
75 1 4 13 1 5
75.1 1 6 13 0 5
75.2 1 7 14 0 5
75.3 1 7 16 0 4
75.4 1 7 16 0 4
75.5 1 7 14 0 5
75.6 1 7 14 0 5
75.7 1 3 12 2 6
75.8 1 3 16 2 4
75.9 1 4 15 2 5
76 1 6 17 1 4
76.1 1 2 17 3 4
76.2 1 2 15 3 5
76.3 1 2 13 3 6
76.4 1 2 13 3 6
76.5 1 2 11 3 7
76.6 1 2 11 3 7
76.7 1 4 11 2 7
76.8 1 2 11 3 7
76.9 1 3 12 3 7
77 1 3 12 3 7
77.1 1 4 15 3 6
77.2 1 5 10 3 9
77.3 1 5 8 3 10
77.4 1 7 10 2 9
77.5 1 7 10 2 9
77.6 1 5 8 3 10
77.7 1 4 12 3 8
77.8 1 4 14 3 7
77.9 1 4 10 3 9
78 1 4 14 3 7
78.1 1 4 16 3 6
78.2 1 4 16 3 6
78.3 1 4 13 3 7
78.4 1 2 13 4 7
78.5 1 2 13 4 7
78.6 1 2 13 4 7
78.7 1 2 15 4 6
78.8 1 2 13 4 7
78.9 1 4 13 3 7
79 1 2 17 4 5
79.1 1 2 15 4 6
79.2 1 3 14 4 7
79.3 1 3 10 4 9
79.4 1 3 9 4 9
79.5 1 3 9 4 9
79.6 1 3 13 4 7
79.7 1 5 11 3 7
79.8 1 5 13 3 6
79.9 1 7 17 2 4
80 1 7 17 2 4
80.1 1 8 16 2 5
80.2 1 8 14 2 6
80.3 1 8 11 2 7
80.4 1 8 11 2 7
80.5 1 7 11 2 7
80.6 1 7 11 2 7
80.7 1 6 12 3 7
80.8 1 8 11 2 7
80.9 1 8 11 2 7
81 1 8 11 2 7
81.1 1 8 11 2 7
81.2 1 8 11 2 7
81.3 1 10 11 1 7
81.4 1 9 11 1 7
81.5 1 8 9 1 8
81.6 1 8 11 1 7
81.7 1 8 9 1 8
81.8 1 7 9 1 8
81.9 1 7 9 1 8
82 1 8 10 1 8
82.1 1 8 12 1 7
82.2 1 8 14 1 6
82.3 1 8 12 1 7
82.4 1 8 14 1 6
82.5 1 9 15 1 6
82.6 1 7 13 2 7
82.7 1 7 14 2 6
82.8 1 6 14 2 6
82.9 1 8 12 1 7
83 1 6 12 1 7
83.1 1 6 12 1 7
83.2 1 6 14 1 6
83.3 1 6 16 1 5
83.4 1 5 14 1 6
83.5 1 3 10 1 8
83.6 1 4 13 1 7
83.7 1 4 11 1 8
83.8 1 4 11 1 8
83.9 1 4 15 1 6
84 1 4 17 1 5
84.1 1 4 17 1 5
84.2 1 4 15 1 6
84.3 1 4 15 1 6
84.4 1 3 18 2 5
84.5 1 3 18 2 5
84.6 1 4 17 2 6
84.7 1 4 15 2 7
84.8 1 3 15 2 7
84.9 1 6 14 1 8
85 1 5 12 1 9
85.1 1 5 12 1 9
85.2 1 6 12 0 9
85.3 1 6 14 0 8
85.4 1 6 16 0 7
85.5 1 6 14 0 8
85.6 1 6 16 0 7
85.7 1 6 14 0 8
85.8 1 6 14 0 8
85.9 1 6 16 0 7
86 1 6 16 0 7
86.1 1 6 16 0 7
86.2 1 6 14 0 8
86.3 1 6 14 0 8
86.4 1 8 14 0 9
86.5 1 7 12 1 10
86.6 1 6 12 1 10
86.7 1 4 12 2 10
86.8 1 5 14 2 9
86.9 1 3 16 3 8
87 1 4 12 3 10
87.1 1 4 12 3 10
87.2 1 4 12 3 10
87.3 1 6 14 2 9
87.4 1 8 13 1 9
87.5 1 8 13 1 9
87.6 1 7 14 1 9
87.7 1 7 16 1 8
87.8 1 7 14 1 9
87.9 1 7 15 1 9
88 1 6 17 1 8
88.1 1 6 19 1 7
88.2 1 6 18 1 8
88.3 1 6 26 1 4
88.4 1 6 24 1 5
88.5 1 6 23 1 6
88.6 1 6 22 1 7
88.7 1 5 20 1 8
88.8 1 5 19 1 8
88.9 1 5 21 1 7
89 1 7 23 0 6
89.1 1 5 19 1 8
89.2 1 5 19 1 8
89.3 1 5 19 1 8
89.4 1 5 17 1 9
89.5 1 5 15 1 10
89.6 1 5 14 1 10
89.7 1 6 15 1 10
89.8 1 7 18 1 9
89.9 1 10 17 0 10
90 1 6 17 1 10
90.1 1 5 15 1 11
90.2 1 5 15 1 11
90.3 1 5 15 1 11
90.4 1 5 15 1 11
90.5 1 5 15 1 11
90.6 1 5 17 1 10
90.7 1 5 17 1 10
90.8 1 3 15 2 11
90.9 1 3 15 2 11
91 1 3 15 2 11
91.1 1 3 19 2 9
91.2 1 3 17 2 10
91.3 1 3 19 2 9
91.4 1 7 21 0 8
91.5 1 8 18 0 10
91.6 1 6 20 1 9
91.7 1 5 18 1 10
91.8 1 4 16 1 11
91.9 1 5 12 0 13
92 1 5 12 0 13
92.1 1 5 10 0 14
92.2 1 5 14 0 12
92.3 1 4 16 0 11
92.4 1 4 18 0 10
92.5 1 4 17 0 10
92.6 1 4 15 0 11
92.7 1 4 17 0 10
92.8 1 4 17 0 10
92.9 1 3 15 0 11
93 1 3 13 0 12
93.1 1 3 13 0 12
93.2 1 3 13 0 12
93.3 1 3 15 0 11
93.4 1 4 16 0 11
93.5 1 4 14 0 12
93.6 1 5 13 0 13
93.7 1 5 13 0 13
93.8 1 5 13 0 13
93.9 1 5 15 0 12
94 1 5 11 0 14
94.1 1 5 11 0 14
94.2 1 5 13 0 13
94.3 1 5 13 0 13
94.4 1 5 15 0 12
94.5 1 5 19 0 10
94.6 1 6 14 0 13
94.7 1 6 16 0 12
94.8 1 6 16 0 12
94.9 1 6 18 0 11
95 1 6 16 0 12
95.1 1 5 14 0 13
95.2 1 5 16 0 12
95.3 1 5 18 0 11
95.4 1 5 16 0 12
95.5 1 4 14 0 13
95.6 1 4 16 0 12
95.7 1 4 18 0 11
95.8 1 4 16 0 12
95.9 1 4 20 0 10
96 1 4 18 0 11
96.1 1 4 18 0 11
96.2 1 4 14 0 13
96.3 1 4 18 0 11
96.4 1 5 21 0 10
96.5 1 5 17 0 12
96.6 1 5 17 0 12
96.7 1 5 17 0 12
96.8 1 5 17 0 12
96.9 1 5 17 0 12
97 1 5 19 0 11
97.1 1 5 17 0 12
97.2 1 6 18 0 12
97.3 1 6 16 0 13
97.4 1 3 20 1 11
97.5 1 3 20 1 11
97.6 1 3 22 1 10
97.7 1 3 22 1 10
97.8 1 1 22 2 10
97.9 1 1 20 2 11
98 1 1 22 2 10
98.1 1 3 24 1 9
98.2 1 3 23 1 9
98.3 1 3 25 1 8
98.4 1 5 23 0 9
98.5 1 4 23 0 9
98.6 1 4 25 0 8
98.7 1 4 25 0 8
98.8 1 3 23 0 9
98.9 1 3 23 0 9
99 1 4 26 0 8
99.1 1 4 24 0 9
99.2 1 4 24 0 9
99.3 1 4 26 0 8
99.4 1 5 25 0 9
99.5 1 5 25 0 9
99.6 1 5 23 0 10
99.7 1 4 19 0 12
99.8 1 3 18 1 13
99.9 1 3 16 1 14
100 1 3 14 1 15
